,camp_name,id,year,campyearid,location,target,territory,terr_iso,target_country,targ_iso,status,cyear,camp_beyear,start_date,start_year,start_date_source,end_date,end_year,end_date_source,camp_duration,prim_meth,resis_meth,camp_goals,goalschange,camp_orgs,camp_orgs_list,camp_size,camp_size_cat,total_part,camp_confl_intensity,violent_flank,flank_intensity,flank_scope,flank_response,camp_structure,media_outreach,cdivers,cdivers_types,div_class,div_ideology,div_regional,div_ethnicity,div_religion,parall_instit,parall_instit_types,pi_education,pi_soc_welfare,pi_trad_media,pi_new_media,pi_police,pi_armed_wing,pi_courts,pi_pol_party,pi_pol_wing,repression,indiscrim,fatalities_range,audience_backlash,ab_domestic,ab_internat,ab_int_mat,camp_backlash,sec_defect,state_defect,wdrwl_support,camp_support,sdirect,slifted,in_media,dom_media,pop_opinion,ra_initials,tccode,lccode,start_date_obsolete,end_date_obsolete,success,progress,progress_names,goal_names,Time,PopTotal,percent_participation,population_bad,repression_names,resistance method
0,Active Forces,1,1991,1_1991,Madagascar,Didier Radsiraka,,,Madagascar,450.0,0,0,0,1991-1-5,1991,"AFP: ""Stormy Reception awaits Madagascar President"" 6/14/91 . LexisNexis - accessed 8/3/16",1993-10-2,1993,"Global Nonviolent Action Database: ""Madagascar Citizens Force Free Elections, 1990-1992""; Associated Press: ""Presidential Guard Fires on Protesters, Nine Reported Killed."" 8/10/1991. LexisNexis - Accessed 8/3/16",3,1,0,0,0,2,"Forces Vives, Madagascar Catholic Church",3,2,400000,0,2,3.0,1.0,-99.0,0,1,1,4,0,0,0,0,0,1,"1,3,4,5,6,8",1,0,1,1,1,1,0,1,0,3,1,3.0,-99,-99,-99,-99,0,1,0,0,0,0,0,2,2,2,,580.0,580.0,5/1/1991,2/10/1993,0,3,significant concessions achieved,regime change,1991.0,12245260.0,3.2665700850778174,False,extreme repression,always violent
1,Active Forces,1,1992,1_1992,Madagascar,Didier Radsiraka,,,Madagascar,450.0,0,1,0,1991-1-5,1991,"AFP: ""Stormy Reception awaits Madagascar President"" 6/14/91 . LexisNexis - accessed 8/3/16",1993-10-2,1993,"Global Nonviolent Action Database: ""Madagascar Citizens Force Free Elections, 1990-1992""; Associated Press: ""Presidential Guard Fires on Protesters, Nine Reported Killed."" 8/10/1991. LexisNexis - Accessed 8/3/16",3,1,0,0,0,1,Rassemblement pour l'Unite nationale (RUN),-99,-99,-99,1,2,3.0,1.0,1.0,0,1,1,"4,6",0,0,0,0,0,1,"1,3,4,5,6,8",1,0,1,1,1,1,0,1,0,3,0,1.0,-99,-99,-99,-99,3,1,0,0,0,0,0,1,2,2,,580.0,580.0,5/1/1991,2/10/1993,0,3,significant concessions achieved,regime change,1992.0,12623342.0,-0.0007842614103301645,True,extreme repression,always violent
2,Active Forces,1,1993,1_1993,Madagascar,Didier Radsiraka,,,Madagascar,450.0,0,2,0,1991-1-5,1991,"AFP: ""Stormy Reception awaits Madagascar President"" 6/14/91 . LexisNexis - accessed 8/3/16",1993-10-2,1993,"Global Nonviolent Action Database: ""Madagascar Citizens Force Free Elections, 1990-1992""; Associated Press: ""Presidential Guard Fires on Protesters, Nine Reported Killed."" 8/10/1991. LexisNexis - Accessed 8/3/16",3,1,0,0,0,0,,-99,-99,-99,1,1,0.0,0.0,0.0,0,1,1,"4,6",0,0,0,0,0,1,"1,3,4,5,6,8",1,0,1,1,1,1,0,1,0,3,0,0.0,-99,-99,-99,-99,3,1,0,0,0,0,0,1,2,0,,580.0,580.0,5/1/1991,2/10/1993,1,4,complete success,regime change,1993.0,13020100.0,-0.0007603628236342271,True,extreme repression,always violent
3,Afar insurgency,2,1991,2_1991,Djibouti,Djibouti regime,,,Djibouti,262.0,0,0,0,1991-12-11,1991,Non-State Actor Data: Version 3.4 (Gleditsch et al),1994-12-26,1994,Non-State Actor Data: Version 3.4 (Gleditsch et al),4,0,0,0,0,1,"Front pour la Restauration de l'Unite et de la Democratie (FRUD),",1,0,3000,0,0,,,,1,1,1,"2,3,4,5,7",1,1,1,0,0,1,7,0,0,0,0,0,0,1,0,0,3,1,2.0,2,0,1,0,3,0,1,0,0,0,0,0,2,0,,522.0,522.0,11/12/1991,26/12/1994,0,1,visible gains short of concessions,regime change,1991.0,628521.0,0.4773110206341555,False,extreme repression,never violent
4,Afar insurgency,2,1992,2_1992,Djibouti,Djibouti regime,,,Djibouti,262.0,0,1,0,1991-12-11,1991,Non-State Actor Data: Version 3.4 (Gleditsch et al),1994-12-26,1994,Non-State Actor Data: Version 3.4 (Gleditsch et al),4,0,0,0,0,1,Front Uni de l'Opposition Djiboutienne (FUOD),1,0,4500,0,0,,,,1,1,1,"2,3,4,5,6,7",1,1,1,0,0,1,"7,8,9,10",0,0,0,0,0,0,1,1,1,3,1,3.0,"1,2",1,1,0,3,0,1,0,0,0,0,0,2,0,,522.0,522.0,11/12/1991,26/12/1994,0,2,limited concession achieved,regime change,1992.0,623197.0,0.7220830652265655,False,extreme repression,never violent
5,Afar insurgency,2,1993,2_1993,Djibouti,Djibouti regime,,,Djibouti,262.0,0,1,0,1991-12-11,1991,Non-State Actor Data: Version 3.4 (Gleditsch et al),1994-12-26,1994,Non-State Actor Data: Version 3.4 (Gleditsch et al),4,0,0,0,0,0,,1,0,4500,0,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"7,8,9,10",0,0,0,0,0,0,1,1,1,3,1,1.0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,,522.0,522.0,11/12/1991,26/12/1994,0,0,status quo,regime change,1993.0,611231.0,0.7362192035417052,False,extreme repression,never violent
6,Afar insurgency,2,1994,2_1994,Djibouti,Djibouti regime,,,Djibouti,262.0,0,2,0,1991-12-11,1991,Non-State Actor Data: Version 3.4 (Gleditsch et al),1994-12-26,1994,Non-State Actor Data: Version 3.4 (Gleditsch et al),4,0,0,0,0,0,,1,0,4500,0,0,,,,1,1,1,"2,3,4,5,6,7",1,1,1,0,0,1,"7,8,9,10",0,0,0,0,0,0,1,1,1,3,1,2.0,"1,2",1,1,0,1,0,0,0,0,0,0,0,1,0,,522.0,522.0,11/12/1991,26/12/1994,0,-1,ends in failure,regime change,1994.0,623477.0,0.7217587817994889,False,extreme repression,never violent
7,Afghan Resistance,3,1979,3_1979,Afghanistan,Soviet occupation,Afghanistan,4.0,Afghanistan,643.0,0,0,0,1979-12-25,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",1988-4-14,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,11,See references,2,1,15000,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"7,9",0,0,0,0,0,0,1,0,1,3,0,5.0,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365.0,700.0,25/12/1979,14/4/1988,0,0,status quo,greater autonomy,1979.0,12986369.0,0.11550572758251362,False,extreme repression,never violent
8,Afghan Resistance,3,1980,3_1980,Afghanistan,Soviet occupation,Afghanistan,4.0,Afghanistan,643.0,0,1,0,1979-12-25,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",1988-4-14,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,11,"The Revolutionary Council of the Islamic Unity, The Islamic Union for the Liberation of Afghanistan, Union of Three, Revolutionary United Front, Guards of the Islamic Jihad, and more...",2,1,44500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9, 10",0,0,0,1,1,0,1,1,1,3,1,6.0,"1,2,3",1,1,1,3,1,0,0,1,1,0,2,2,0,,365.0,700.0,25/12/1979,14/4/1988,0,0,status quo,greater autonomy,1980.0,12486631.0,0.35638115677479376,False,extreme repression,never violent
9,Afghan Resistance,3,1981,3_1981,Afghanistan,Soviet occupation,Afghanistan,4.0,Afghanistan,643.0,0,1,0,1979-12-25,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",1988-4-14,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,1,Union of Seven,2,1,45500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9,10",0,0,0,1,1,0,1,1,1,3,1,6.0,"1,2,3",1,1,1,3,1,0,0,1,0,1,2,2,0,,365.0,700.0,25/12/1979,14/4/1988,0,0,status quo,greater autonomy,1981.0,11155195.0,0.40788170892575165,False,extreme repression,never violent
